Episode,Reward,Epsilon
1,-2,1.0
2,6,1.0
3,-1,1.0
4,3,1.0
5,1,1.0
6,0,1.0
7,-2,1.0
8,5,0.9558895783575597
9,-5,0.851801859600347
10,-1,0.8475428503023453
11,-1,0.810157377815473
12,0,0.8020760579717637
13,1,0.7744209942832988
14,2,0.7590483508202912
15,1,0.7552531090661897
16,-4,0.7328768546436799
17,2,0.6832098777212641
18,2,0.6763948591909945
19,-2,0.6629680834613705
20,1,0.6465587967553006
21,-1,0.6118738784280476
22,-11,0.5452463540625918
23,4,0.5134164023722473
24,2,0.5082950737585841
25,-3,0.49571413690105054
26,-2,0.4858739637363176
27,0,0.457510005540005
28,-5,0.446186062443672
29,-3,0.42650460709830135
30,4,0.3596735257153405
31,2,0.3352984938281715
32,3,0.31101247816653554
33,-1,0.30945741577570285
34,0,0.285607880564032
35,-7,0.2702863258025825
36,2,0.26227842021373715
37,3,0.2583638820072446
38,0,0.25578670228422234
39,-1,0.25450776877280124
40,-1,0.2532352299289372
41,0,0.2507092085103961
42,-2,0.24820838415550486
43,2,0.2384520680152932
44,-3,0.22793384675362674
45,3,0.22453190559909803
46,-2,0.20516038984972615
47,3,0.2000824143909432
48,4,0.1865228530605915
49,1,0.18373897616330553
50,-1,0.17740377510930716
51,1,0.17651675623376062
52,0,0.16291280823111093
53,-4,0.15650920157696743
54,-2,0.14300635237083656
55,10,0.10692863247165257
56,-3,0.10221196540767843
57,4,0.09819432413732986
58,0,0.09721483575406
59,-2,0.09246201511725258
60,-1,0.09199970504166631
61,0,0.089273984641318
62,1,0.08794155926129824
63,-2,0.08198177029173696
64,-1,0.07528520976374668
65,-1,0.07342180695061275
66,0,0.07196434741762824
67,4,0.0691356479495614
68,0,0.06509970288011008
69,2,0.06380744126877576
70,1,0.06038446427088321
71,-8,0.05354009722551939
72,-2,0.05195383849590569
73,4,0.04794981455780219
74,1,0.047234157581800176
75,0,0.046296535966244
76,1,0.046065053286412784
77,7,0.0418803316354751
78,1,0.041670929977297724
79,1,0.04063952250178857
80,-3,0.03963364364733769
81,4,0.037319942779450235
82,2,0.03621424652392737
83,1,0.035673744367776934
84,5,0.030847362533106718
85,-1,0.030693125720441184
86,5,0.028756840457888354
87,2,0.027350922279685573
88,1,0.027214167668287145
89,-1,0.02707809682994571
90,0,0.02449513017825978
91,0,0.023297566459620722
92,-2,0.020450816818411825
93,0,0.01964695745288379
94,-1,0.019353724157029815
95,10,0.018223908064988973
96,0,0.01681941195362342
97,2,0.01632109498333433
98,1,0.013972200057807112
99,0,0.013422995398979608
100,2,0.012639398604785928
