case,chip,mixers,n_obstacles,succ_per_route_avg,succ_joint_avg,avg_path
c1,10x10,2,5,97.0,94.1,9.8
c2,10x10,2,6,97.5,95.0,9.2
c3,10x10,2,7,98.0,96.0,9.4
c4,10x10,3,5,99.2,97.5,8.2
c5,10x10,3,6,99.3,98.0,7.9
c6,10x10,3,7,99.5,98.5,8.3
c7,12x12,2,5,94.2,88.9,13.8
c8,12x12,2,7,89.5,80.1,17.9
c9,12x12,2,9,88.8,78.8,18.3
c10,12x12,3,6,95.8,88.0,12.6
c11,12x12,3,8,94.2,83.4,14.0
c12,12x12,3,10,94.7,84.8,13.5
c13,15x15,3,5,92.7,79.6,18.4
c14,15x15,3,7,90.3,73.7,20.9
c15,15x15,3,9,89.2,70.8,22.3
c16,15x15,4,6,93.5,76.4,17.6
c17,15x15,4,8,92.0,71.8,19.2
c18,15x15,4,10,91.0,68.5,20.1
